Module	Field Identifier	Field (User Interface Label)	Field (Code Label)	Menu	NullValueMenu	Description	Examples
Host reinfection information	GENEPIO:0001438	prior SARS-CoV-2 antiviral treatment	prior_sarscov2_antiviral_treatment	PriorSarsCov2AntiviralTreatmentMenu	TRUE	Whether there was prior SARS-CoV-2 treatment with an antiviral agent.	Prior antiviral treatment [GENEPIO:0100037]
Host reinfection information	GENEPIO:0001439	prior SARS-CoV-2 antiviral treatment agent	prior_sarscov2_antiviral_treatment_agent			The name of the antiviral treatment agent administered during the prior SARS-CoV-2 infection.	Remdesivir
Host reinfection information	GENEPIO:0001440	prior SARS-CoV-2 antiviral treatment date	prior_sarscov2_antiviral_treatment_date			The date treatment was first administered during the prior SARS-CoV-2 infection.	2021-01-28
Host reinfection information	GENEPIO:0001435	prior SARS-CoV-2 infection	prior_sarscov2_infection	PriorSarsCov2InfectionMenu	TRUE	Whether there was prior SARS-CoV-2 infection.	Prior infection [GENEPIO:0100234]
Host reinfection information	GENEPIO:0001437	prior SARS-CoV-2 infection date	prior_sarscov2_infection_date			The date of diagnosis of the prior SARS-CoV-2 infection.	2021-01-23
Host reinfection information	GENEPIO:0001436	prior SARS-CoV-2 infection isolate	prior_sarscov2_infection_isolate			The identifier of the isolate found in the prior SARS-CoV-2 infection.	SARS-CoV-2/human/USA/CA-CDPH-001/2020
Host treatment information	GENEPIO:0101114	influenza antiviral agent	influenza_antiviral_agent			A substance that destroys or inhibits replication of viruses.	
Host treatment information	GENEPIO:0101113	influenza antiviral treatment administration	influenza_antiviral_treatment_administration	InfluenzaAntiviralTreatmentAdministrationMenu	TRUE	An action of giving or applying an influenza antiviral agent to a patient as part of a treatment regimen.	Influenza antiviral treatment administered [GENEPIO:0101194]
Host treatment information	GENEPIO:0101115	influenza antiviral treatment date	influenza_antiviral_treatment_date			The date on which the influenza antiviral agent was administered to a patient as part of treatment	
Host vaccination information	GENEPIO:0001404	host vaccination status	host_vaccination_status	HostVaccinationStatusMenu	TRUE	The vaccination status of the host (fully vaccinated, partially vaccinated, or not vaccinated).	Fully Vaccinated [GENEPIO:0100100]
Host vaccination information	GENEPIO:0001406	number of vaccine doses received	number_of_vaccine_doses_received			The number of doses of the vaccine received by the host.	2
Host vaccination information	GENEPIO:0100314	vaccination dose 1 vaccination date	vaccination_dose_1_vaccination_date			The date the first dose of a vaccine was administered.	2021-03-01
Host vaccination information	GENEPIO:0100313	vaccination dose 1 vaccine name	vaccination_dose_1_vaccine_name			The name of the vaccine administered as the first dose of a vaccine regimen.	Pfizer-BioNTech (Comirnaty)
Host vaccination information	GENEPIO:0100316	vaccination dose 2 vaccination date	vaccination_dose_2_vaccination_date			The date the second dose of a vaccine was administered.	2021-09-01
Host vaccination information	GENEPIO:0100315	vaccination dose 2 vaccine name	vaccination_dose_2_vaccine_name			The name of the vaccine administered as the second dose of a vaccine regimen.	Pfizer-BioNTech (Comirnaty)
Host vaccination information	GENEPIO:0100318	vaccination dose 3 vaccination date	vaccination_dose_3_vaccination_date			The date the third dose of a vaccine was administered.	2021-12-30
Host vaccination information	GENEPIO:0100317	vaccination dose 3 vaccine name	vaccination_dose_3_vaccine_name			The name of the vaccine administered as the third dose of a vaccine regimen.	Pfizer-BioNTech (Comirnaty)
Host vaccination information	GENEPIO:0100320	vaccination dose 4 vaccination date	vaccination_dose_4_vaccination_date			The date the fourth dose of a vaccine was administered.	2022-01-15
Host vaccination information	GENEPIO:0100319	vaccination dose 4 vaccine name	vaccination_dose_4_vaccine_name			The name of the vaccine administered as the fourth dose of a vaccine regimen.	Pfizer-BioNTech (Comirnaty)
Host vaccination information	GENEPIO:0100321	vaccination history	vaccination_history			A description of the vaccines received and the administration dates of a series of vaccinations against a specific disease or a set of diseases.	Pfizer-BioNTech (Comirnaty); 2021-03-01; Pfizer-BioNTech (Comirnaty); 2022-01-15
Lineage and Variant information	GENEPIO:0001501	lineage/clade analysis software name	lineage_clade_analysis_software_name			The name of the software used to determine the lineage/clade.	Pangolin
Lineage and Variant information	GENEPIO:0001502	lineage/clade analysis software version	lineage_clade_analysis_software_version			The version of the software used to determine the lineage/clade.	2.1.10
Lineage and Variant information	GENEPIO:0001500	lineage/clade name	lineage_clade_name			The name of the lineage or clade.	B.1.1.7
Lineage and Variant information	GENEPIO:0001503	variant designation	variant_designation	VariantDesignationMenu	TRUE	The variant classification of the lineage/clade i.e. variant, variant of concern.	Variant of Concern (VOC) [GENEPIO:0100083]
Lineage and Variant information	GENEPIO:0001504	variant evidence	variant_evidence	VariantEvidenceMenu	TRUE	The evidence used to make the variant determination.	RT-qPCR
Lineage and Variant information	GENEPIO:0001505	variant evidence details	variant_evidence_details			The evidence used to make the variant determination.	RT-qPCR TaqPath assay: S gene target failure
Lineage/clade information	OBI:0001305	genotype	genotype	GenotypeMenu	TRUE	A designation used to specify a collection of genetic characteristics of an organism which can include information about specific alleles, genetic modifications, etc.	D3
Lineage/clade information	GENEPIO:0102070	lineage/clade analysis date	lineage_clade_analysis_date			The date of the lineage/clade analysis was performed.	2024-02-01
Lineage/clade information	GENEPIO:0101081	lineage/clade analysis report filename	lineage_clade_analysis_report_filename			The filename of the report containing the results of a lineage/clade analysis.	aggregated-WWSC2-ABC-b_1234.tsv
Lineage/clade information	GENEPIO:0001501	lineage/clade analysis software name	lineage_clade_analysis_software_name			The name of the software used to determine the lineage/clade.	Freyja
Lineage/clade information	GENEPIO:0001502	lineage/clade analysis software version	lineage_clade_analysis_software_version			The version of the software used to determine the lineage/clade.	1.5.0
Lineage/clade information	GENEPIO:0001500	lineage/clade name	lineage_clade_name			The name of the lineage or clade.	B.1.1.7
Lineage/clade information	GENEPIO:0102133	viral clade	viral_clade	ViralCladeMenu	TRUE	A grouping that includes a common ancestor and all the descendants (living and extinct) of that ancestor.	Measles virus Clade D
NCBI SRA information	GENEPIO:0100329	filename	filename			See NCBI SRA template for details.	
NCBI SRA information	GENEPIO:0100330	filename2	filename2			See NCBI SRA template for details.	
NCBI SRA information	GENEPIO:0100328	filetype	filetype	FiletypeMenu		See NCBI SRA template for details.	
NCBI SRA information	GENEPIO:0100327	library layout	library_layout	LibraryLayoutMenu		See NCBI SRA template for details.	
NCBI SRA information	GENEPIO:0100326	library selection	library_selection	LibrarySelectionMenu		See NCBI SRA template for details.	
NCBI SRA information	GENEPIO:0100325	library source	library_source	LibrarySourceMenu		See NCBI SRA template for details.	
NCBI SRA information	GENEPIO:0100324	library strategy	library_strategy	LibraryStrategyMenu		See NCBI SRA template for details.	
NCBI SRA information	GENEPIO:0100323	title	title			Short description that will identify  the dataset on public pages.	Genomic sequencing of SARS-CoV-2: Nasopharynx (NP), Swab
Pathogen diagnostic testing	GENEPIO:0102141	antibody symbol 1	antibody_symbol_1	AntibodySymbolMenu	TRUE	The symbol of the gene used in the diagnostic RT-PCR test.	Not Applicable
Pathogen diagnostic testing	GENEPIO:0102141	antibody symbol 2	antibody_symbol_2	AntibodySymbolMenu	TRUE	The symbol of the gene used in the diagnostic RT-PCR test.	IgG
Pathogen diagnostic testing	GENEPIO:0102141	antibody symbol 3	antibody_symbol_3	AntibodySymbolMenu	TRUE	The symbol of the gene used in the diagnostic RT-PCR test.	Not Applicable
Pathogen diagnostic testing	GENEPIO:0102045	assay target details 1	assay_target_details_1			Describe any details of the assay target.	
Pathogen diagnostic testing	GENEPIO:0102046	assay target details 2	assay_target_details_2			Describe any details of the assay target.	
Pathogen diagnostic testing	GENEPIO:0102047	assay target details 3	assay_target_details_3			Describe any details of the assay target.	
Pathogen diagnostic testing	GENEPIO:0102052	assay target name 1	assay_target_name_1		TRUE	The name of the assay target used in the diagnostic RT-PCR test.	
Pathogen diagnostic testing	GENEPIO:0102038	assay target name 2	assay_target_name_2			The name of the assay target used in the diagnostic RT-PCR test.	
Pathogen diagnostic testing	GENEPIO:0102052	assay target name 2	assay_target_name_2		TRUE	The name of the assay target used in the diagnostic RT-PCR test.	Not Applicable
Pathogen diagnostic testing	GENEPIO:0102039	assay target name 3	assay_target_name_3			The name of the assay target used in the diagnostic RT-PCR test.	
Pathogen diagnostic testing	GENEPIO:0102052	assay target name 3	assay_target_name_3		TRUE	The name of the assay target used in the diagnostic RT-PCR test.	Not Applicable
Pathogen diagnostic testing	GENEPIO:0100965	diagnostic measurement method 1	diagnostic_measurement_method_1	DiagnosticMeasurementMethodMenu	TRUE	The method by which a diagnostic result was determined.	qPCR
Pathogen diagnostic testing	GENEPIO:0100965	diagnostic measurement method 2	diagnostic_measurement_method_2	DiagnosticMeasurementMethodMenu	TRUE	The method by which a diagnostic result was determined.	qPCR
Pathogen diagnostic testing	GENEPIO:0100965	diagnostic measurement method 3	diagnostic_measurement_method_3	DiagnosticMeasurementMethodMenu	TRUE	The method by which a diagnostic result was determined.	qPCR
Pathogen diagnostic testing	GENEPIO:0100964	diagnostic measurement unit 1	diagnostic_measurement_unit_1	DiagnosticMeasurementUnitMenu	TRUE	The unit of the result from a diagnostic test.	cycle threshold (Ct)
Pathogen diagnostic testing	GENEPIO:0100964	diagnostic measurement unit 2	diagnostic_measurement_unit_2	DiagnosticMeasurementUnitMenu	TRUE	The unit of the result from a diagnostic test.	cycle threshold (Ct)
Pathogen diagnostic testing	GENEPIO:0100964	diagnostic measurement unit 3	diagnostic_measurement_unit_3	DiagnosticMeasurementUnitMenu	TRUE	The unit of the result from a diagnostic test.	cycle threshold (Ct)
Pathogen diagnostic testing	GENEPIO:0100963	diagnostic measurement value 1	diagnostic_measurement_value_1			The value of the result from a diagnostic test.	1000
Pathogen diagnostic testing	GENEPIO:0100963	diagnostic measurement value 2	diagnostic_measurement_value_2			The value of the result from a diagnostic test.	1000
Pathogen diagnostic testing	GENEPIO:0100963	diagnostic measurement value 3	diagnostic_measurement_value_3			The value of the result from a diagnostic test.	1000
Pathogen diagnostic testing	GENEPIO:0001509	diagnostic pcr Ct value 1	diagnostic_pcr_ct_value_1			The cycle threshold (Ct) value result from a diagnostic SARS-CoV-2 RT-PCR test.	21
Pathogen diagnostic testing	GENEPIO:0001512	diagnostic pcr Ct value 2	diagnostic_pcr_ct_value_2			The cycle threshold (Ct) value result from a diagnostic SARS-CoV-2 RT-PCR test.	36
Pathogen diagnostic testing	GENEPIO:0001515	diagnostic pcr Ct value 3	diagnostic_pcr_ct_value_3		TRUE	The Ct value result from a diagnostic SARS-CoV-2 RT-PCR test.	30
Pathogen diagnostic testing	GENEPIO:0100577	diagnostic pcr Ct value 4	diagnostic_pcr_ct_value_4		TRUE	The Ct value result from a diagnostic SARS-CoV-2 RT-PCR test.	27
Pathogen diagnostic testing	GENEPIO:0100579	diagnostic pcr Ct value 5	diagnostic_pcr_ct_value_5		TRUE	The Ct value result from a diagnostic SARS-CoV-2 RT-PCR test.	30
Pathogen diagnostic testing	GENEPIO:0001508	diagnostic pcr protocol 1	diagnostic_pcr_protocol_1			The name and version number of the protocol used for diagnostic marker amplification.	PCREGene 2.0
Pathogen diagnostic testing	GENEPIO:0001511	diagnostic pcr protocol 2	diagnostic_pcr_protocol_2			The name and version number of the protocol used for diagnostic marker amplification.	PCRRdRpGene 3.0
Pathogen diagnostic testing	GENEPIO:0001514	diagnostic pcr protocol 3	diagnostic_pcr_protocol_3			The name and version number of the protocol used for diagnostic marker amplification.	RdRpGenePCRTest 3
Pathogen diagnostic testing	GENEPIO:0100962	diagnostic target presence 1	diagnostic_target_presence_1	DiagnosticTargetPresenceMenu	TRUE	The binary value of the result from a diagnostic test.	diagnostic target present
Pathogen diagnostic testing	GENEPIO:0100962	diagnostic target presence 2	diagnostic_target_presence_2	DiagnosticTargetPresenceMenu	TRUE	The binary value of the result from a diagnostic test.	diagnostic target present
Pathogen diagnostic testing	GENEPIO:0100962	diagnostic target presence 3	diagnostic_target_presence_3	DiagnosticTargetPresenceMenu	TRUE	The binary value of the result from a diagnostic test.	diagnostic target present
Pathogen diagnostic testing	GENEPIO:0101106	diagnostic testing details	diagnostic_testing_details			Describe any details of the diagnsotic testing.	
Pathogen diagnostic testing	GENEPIO:0101105	diagnostic testing threshold units	diagnostic_testing_threshold_units			The unit which are attributed to the threshold above/below which interpretation can be drawn on the diagnostic test	
Pathogen diagnostic testing	GENEPIO:0101104	diagnostic testing threshold value	diagnostic_testing_threshold_value			The numerical value which represents the threshold above/below which interpretation can be drawn on the diagnostic test	
Pathogen diagnostic testing	GENEPIO:0001507	gene name 1	gene_name_1	SARSCoV2GeneNameMenu; MpoxGeneNameMenu; SARSCoV2GeneNameMenu; InfluenzaGeneNameMenu	TRUE	The name of the gene used in the diagnostic RT-PCR test.	E gene (orf4) [GENEPIO:0100151]
Pathogen diagnostic testing	GENEPIO:0001510	gene name 2	gene_name_2	SARSCoV2GeneNameMenu; MpoxGeneNameMenu; SARSCoV2GeneNameMenu; InfluenzaGeneNameMenu	TRUE	The name of the gene used in the diagnostic RT-PCR test.	RdRp gene (nsp12) [GENEPIO:0100168]
Pathogen diagnostic testing	GENEPIO:0001513	gene name 3	gene_name_3	SARSCoV2GeneNameMenu; MpoxGeneNameMenu; SARSCoV2GeneNameMenu; InfluenzaGeneNameMenu	TRUE	The name of the gene used in the diagnostic RT-PCR test.	RdRp gene (nsp12)
Pathogen diagnostic testing	GENEPIO:0100576	gene name 4	gene_name_4	SARSCoV2GeneNameMenu; MpoxGeneNameMenu; SARSCoV2GeneNameMenu; InfluenzaGeneNameMenu	TRUE	The name of the gene used in the diagnostic RT-PCR test.	G2R_G (TNFR)
Pathogen diagnostic testing	GENEPIO:0100578	gene name 5	gene_name_5	SARSCoV2GeneNameMenu; MpoxGeneNameMenu; SARSCoV2GeneNameMenu; InfluenzaGeneNameMenu	TRUE	The name of the gene used in the diagnostic RT-PCR test.	RNAse P
Pathogen diagnostic testing	GENEPIO:0102041	gene symbol 1	gene_symbol_1	SARSCoV2GeneSymbolMenu; MeaslesGeneSymbolMenu	TRUE	The symbol of the gene used in the diagnostic RT-PCR test.	E gene (orf4)
Pathogen diagnostic testing	GENEPIO:0102042	gene symbol 2	gene_symbol_2	SARSCoV2GeneSymbolMenu; MeaslesGeneSymbolMenu	TRUE	The symbol of the gene used in the diagnostic RT-PCR test.	E gene (orf4)
Pathogen diagnostic testing	GENEPIO:0102043	gene symbol 3	gene_symbol_3	SARSCoV2GeneSymbolMenu; MeaslesGeneSymbolMenu	TRUE	The symbol of the gene used in the diagnostic RT-PCR test.	E gene (orf4)
Pathogen diagnostic testing	GENEPIO:0101116	genetic target name	genetic_target_name		TRUE	The name of the genetic marker used for testing.	gyrase A
Pathogen diagnostic testing	GENEPIO:0101117	genetic target region	genetic_target_region			The specific region or segment of a genetic sequence used for testing or analysis.	
Pathogen diagnostic testing	GENEPIO:0101118	genetic target region reference genome	genetic_target_region_reference_genome			The reference genome version used to determine the coordinates or identity of the genetic target region in testing or analysis.	
Pathogen diagnostic testing	GENEPIO:0102140	infectious disease stage 1	infectious_disease_stage_1	InfectiousDiseaseStageMenu	TRUE	The stage of the infectious disease at the time of sampling.	Acute disease stage
Pathogen diagnostic testing	GENEPIO:0102140	infectious disease stage 2	infectious_disease_stage_2	InfectiousDiseaseStageMenu	TRUE	The stage of the infectious disease at the time of sampling.	Convalescent disease stage
Pathogen diagnostic testing	GENEPIO:0102140	infectious disease stage 3	infectious_disease_stage_3	InfectiousDiseaseStageMenu	TRUE	The stage of the infectious disease at the time of sampling.	Acute disease stage
Pathogen diagnostic testing	GENEPIO:0102049	target taxonomic name 1	target_taxonomic_name_1			The scientific name of the organism or taxon that is the focus of the study, assay, or diagnostic test.	
Pathogen diagnostic testing	GENEPIO:0102050	target taxonomic name 2				The scientific name of the organism or taxon that is the focus of the study, assay, or diagnostic test.	
Pathogen diagnostic testing	GENEPIO:0102051	target taxonomic name 3				The scientific name of the organism or taxon that is the focus of the study, assay, or diagnostic test.	
Public repository information	GENEPIO:0100476	attribute package	attribute_package	AttributePackageMenu	TRUE	The attribute package used to structure metadata in an INSDC BioSample.	Pathogen.env [GENEPIO:0100581]
Public repository information	GENEPIO:0001136	bioproject accession	bioproject_accession			The INSDC accession number of the BioProject(s) to which the BioSample belongs.	PRJNA12345
Public repository information	GENEPIO:0001139	biosample accession	biosample_accession			The identifier assigned to a BioSample in INSDC archives.	SAMN14180202
Public repository information	GENEPIO:0001145	GenBank accession	genbank_accession			The GenBank/ENA/DDBJ identifier assigned to the sequence in the INSDC archives.	MN908947.3
Public repository information	GENEPIO:0100475	publication ID	publication_id			The identifier for a publication.	PMID: 33205991
Public repository information	GENEPIO:0001159	sequence submitted by	sequence_submitted_by	SequenceSubmittedByMenu	TRUE	The name of the agency that submitted the sequence to a database.	Environment and Climate Change Canada (ECCC) [GENEPIO:0100555]
Public repository information	GENEPIO:0001165	sequence submitted by contact email	sequence_submitted_by_contact_email			The email address of the agency responsible for submission of the sequence.	RespLab@lab.ca
Public repository information	GENEPIO:0100474	sequence submitted by contact name	sequence_submitted_by_contact_name			The name or title of the contact responsible for follow-up regarding the submission of the sequence to a repository or database.	Enterics Lab Manager
Public repository information	GENEPIO:0001142	SRA accession	sra_accession			The Sequence Read Archive (SRA), European Nucleotide Archive (ENA) or DDBJ Sequence Read Archive (DRA) identifier linking raw read data, methodological metadata and quality control metrics submitted to the INSDC.	SRR11177792
Risk assessment information	GENEPIO:0100484	experiment intervention details	experiment_intervention_details			The details of the experimental intervention applied in the food production system.	2% cranberry solution mixed in feed
Risk assessment information	GENEPIO:0100483	experimental intervention	experimental_intervention	ExperimentalInterventionMenu	TRUE	The category of the experimental intervention applied in the food production system.	Vaccination [NCIT:C15346]
Risk assessment information	GENEPIO:0100480	prevalence metrics	prevalence_metrics			Metrics regarding the prevalence of the pathogen of interest obtained from a surveillance project.	Number of total samples collected, Number of positive samples
Risk assessment information	GENEPIO:0100481	prevalence metrics details	prevalence_metrics_details			The details pertaining to the prevalence metrics from a surveillance project.	Hazard organism counts (i.e. Salmonella) do not distinguish between serovars.
Risk assessment information	GENEPIO:0100482	stage of production	stage_of_production		TRUE	The stage of food production.	Abattoir [ENVO:01000925]
Sample collection and processing	GENEPIO:0001211	anatomical material	anatomical_material	AnatomicalMaterialMenu	TRUE	A substance obtained from an anatomical part of an organism e.g. tissue, blood.	Blood [UBERON:0000178]
Sample collection and processing	GENEPIO:0001214	anatomical part	anatomical_part	AnatomicalPartMenu	TRUE	An anatomical part of an organism e.g. oropharynx.	Nasopharynx (NP) [UBERON:0001728]
Sample collection and processing	GENEPIO:0100700	anatomical region	anatomical_region	AnatomicalRegionMenu	TRUE	A 3D region in space without well-defined compartmental boundaries; for example, the dorsal region of an ectoderm.	Dorso-lateral region [BSPO:0000080]
Sample collection and processing	GENEPIO:0100443	animal or plant population	animal_or_plant_population	AnimalOrPlantPopulationMenu	TRUE	The type of animal or plant population inhabiting an area.	Turkey [NCBITaxon:9103]
Sample collection and processing	GENEPIO:0100446	animal source of food	animal_source_of_food	AnimalSourceOfFoodMenu	TRUE	The animal from which the food product was derived.	Chicken [NCBITaxon:9031]
Sample collection and processing	GENEPIO:0101023	available data type details	available_data_type_details			Detailed information regarding other available data types.	Pooled metagenomes containing extended spectrum beta-lactamase (ESBL) bacteria
Sample collection and processing	GENEPIO:0100690	available data types	available_data_types	AvailableDataTypesMenu	TRUE	The type of data that is available, that may or may not require permission to access.	Total coliform count [GENEPIO:0100729]
Sample collection and processing	GENEPIO:0001266	biomaterial extracted	biomaterial_extracted	BiomaterialExtractedMenu	TRUE	The biomaterial extracted from samples for the purpose of sequencing.	RNA (Total) [OBI:0000895]
Sample collection and processing	GENEPIO:0001216	body product	body_product	BodyProductMenu	TRUE	A substance excreted/secreted from an organism e.g. feces, urine, sweat.	Feces [UBERON:0001988]
Sample collection and processing	GENEPIO:0001234	collection device	collection_device	CollectionDeviceMenu	TRUE	The instrument or container used to collect the sample e.g. swab.	Swab [GENEPIO:0100027]
Sample collection and processing	GENEPIO:0001241	collection method	collection_method	CollectionMethodMenu	TRUE	The process used to collect the sample e.g. phlebotomy, necropsy.	Bronchoalveolar lavage (BAL) [GENEPIO:0100032]
Sample collection and processing	GENEPIO:0001243	collection protocol	collection_protocol			The name and version of a particular protocol used for sampling.	SC2SamplingProtocol 1.2
Sample collection and processing	GENEPIO:0100284	culture collection	culture_collection			The name of the source collection and unique culture identifier.	/culture_collection="ATCC:26370"
Sample collection and processing	GENEPIO:0100278	data abstraction details	data_abstraction_details			A description of how any data elements were altered to preserve patient privacy.	Jitter added to publicly shared collection dates to prevent re-identifiability.
Sample collection and processing	GENEPIO:0102080	data steward contact email	data_steward_contact_email			The email address of the data steward.	data_steward@lab.ca
Sample collection and processing	GENEPIO:0102079	data steward contact name	data_steward_contact_name			The name of the data steward.	John Bloggs
Sample collection and processing	GENEPIO:0100923	endogenous control details	endogenous_control_details			The description of the endogenous controls included when extracting a sample.	
Sample collection and processing	GENEPIO:0001223	environmental material	environmental_material	EnvironmentalMaterialMenu	TRUE	A substance obtained from the natural or man-made environment e.g. soil, water, sewage, door handle, bed handrail, face mask.	Face mask [OBI:0002787]
Sample collection and processing	GENEPIO:0101197	environmental material constituent	environmental_material_constituent			The material constituents that comprise an environmental material e.g. lead, plastic, paper.	lead; plastic
Sample collection and processing	GENEPIO:0100770	environmental material properties	environmental_material_properties	EnvironmentalMaterialPropertiesMenu	TRUE	The properties, characteristics and qualities of a substance obtained from the natural or man-made environment.	Stagnant
Sample collection and processing	GENEPIO:0001232	environmental site	environmental_site	EnvironmentalSiteMenu	TRUE	An environmental location may describe a site in the natural or built environment e.g. hospital, wet market, bat cave.	Hospital [ENVO:00002173]
Sample collection and processing	GENEPIO:0100922	experimental control details	experimental_control_details			The details regarding the experimental control contained in the sample.	Human coronavirus 229E (HCoV-229E) spiked in sample as process control
Sample collection and processing	GENEPIO:0101029	experimental protocol name	experimental_protocol_name			The name of the overarching experimental methodology that was used to process the biomaterial.	
Sample collection and processing	GENEPIO:0102071	experimental protocol url	experimental_protocol_url			[Under development]	
Sample collection and processing	GENEPIO:0101112	experimental specimen details	experimental_specimen_details			[Under development]	
Sample collection and processing	GENEPIO:0100921	experimental specimen role type	experimental_specimen_role_type	ExperimentalSpecimenRoleTypeMenu	TRUE	The type of role that the sample represents in the experiment.	Positive experimental control
Sample collection and processing	GENEPIO:0100925	extraction recovery efficiency measurement method	extraction_recovery_efficiency_measurement_method			The method by which recovery efficiency of an extraction was calculated.	
Sample collection and processing	GENEPIO:0100924	extraction recovery efficiency measurement value	extraction_recovery_efficiency_measurement_value			The recovery efficiency of an extraction, calculated as the amount of a synthetic or endogenous compound identified in the sample relative to the amount expected.	
Sample collection and processing	GENEPIO:0100447	food packaging	food_packaging	FoodPackagingMenu	TRUE	The type of packaging used to contain a food product.	Plastic tray or pan [FOODON:03490126]
Sample collection and processing	GENEPIO:0100616	food packaging date	food_packaging_date			A food product's packaging date as marked by a food manufacturer or retailer.	2020-05-25
Sample collection and processing	GENEPIO:0100444	food product	food_product	FoodProductMenu	TRUE	A material consumed and digested for nutritional value or enjoyment.	Feather meal [FOODON:00003927]; Bone meal [ENVO:02000054]; Chicken breast [FOODON:00002703]
Sample collection and processing	GENEPIO:0100437	food product origin geo_loc name (country)	food_product_origin_geo_loc_name_country	GeoLocNameCountryMenu	TRUE	The country of origin of a food product.	United States of America [GAZ:00002459]
Sample collection and processing	GENEPIO:0100699	food product production stream	food_product_production_stream	FoodProductProductionStreamMenu	TRUE	A production pathway incorporating the processes, material entities (e.g. equipment, animals, locations), and conditions that participate in the generation of a food commodity.	Beef cattle production stream [FOODON:03000452]
Sample collection and processing	GENEPIO:0100445	food product properties	food_product_properties	FoodProductPropertiesMenu	TRUE	Any characteristic of the food product pertaining to its state, processing, or implications for consumers.	Food (chopped) [FOODON:00002777]; Ready-to-eat (RTE) [FOODON:03316636]
Sample collection and processing	GENEPIO:0100615	food quality date	food_quality_date			A date recommended for the use of a product while at peak quality, this date is not a reflection of safety unless used on infant formula.	2020-05-25
Sample collection and processing	GENEPIO:0100309	geo_loc latitude	geo_loc_latitude			The latitude coordinates of the geographical location of sample collection.	38.98 N
Sample collection and processing	GENEPIO:0100310	geo_loc longitude	geo_loc_longitude			The longitude coordinates of the geographical location of sample collection.	77.11 W
Sample collection and processing	GENEPIO:0001189	geo_loc name (city)	geo_loc_name_city			The city of origin of the sample.	Vancouver
Sample collection and processing	GENEPIO:0001181	geo_loc name (country)	geo_loc_name_country	GeoLocNameCountryMenu	TRUE	The country of origin of the sample.	South Africa [GAZ:00001094]
Sample collection and processing	GENEPIO:0100280	geo_loc name (county/region)	geo_loc_name_county_region			The county/region of origin of the sample.	Derbyshire
Sample collection and processing	GENEPIO:0100436	geo_loc name (site)	geo_loc_name_site			The name of a specific geographical location e.g. Credit River (rather than river).	Credit River
Sample collection and processing	GENEPIO:0001185	geo_loc name (state/province/region)	geo_loc_name_state_province_region	GeoLocNameStateProvinceRegionMenu	TRUE	The state/province/territory of origin of the sample.	British Columbia [GAZ:00002562]
Sample collection and processing	GENEPIO:0001185	geo_loc name (state/province/territory)	geo_loc_name_state_province_territory		TRUE	The state/province/territory of origin of the sample.	Western Cape
Sample collection and processing	GENEPIO:0100438	host origin geo_loc name (country)	host_origin_geo_loc_name_country	GeoLocNameCountryMenu	TRUE	The country of origin of the host.	South Africa [GAZ:00001094]
Sample collection and processing	GENEPIO:0101108	influenza subtype	influenza_subtype	InfluenzaSubtypeMenu		[Under development]	
Sample collection and processing	GENEPIO:0101109	influenza subtyping scheme name	influenza_subtyping_scheme_name	InfluenzaSubtypingSchemeNameMenu		[Under development]	
Sample collection and processing	GENEPIO:0001195	isolate	isolate_id		TRUE	Identifier of the specific isolate.	hCov-19/CANADA/BC-prov_rona_99/2020
Sample collection and processing	GENEPIO:0001644	isolate	isolate_id		TRUE	Identifier of the specific isolate.	SARS-CoV-2/human/USA/CA-CDPH-001/2020
Sample collection and processing	GENEPIO:0001255	lab host	lab_host	LabHostMenu	TRUE	Name and description of the laboratory host used to propagate the source organism or material from which the sample was obtained.	Vero E6 cell line [BTO:0004755]
Sample collection and processing	FOODON:03602001	label claim	label_claim	LabelClaimMenu	TRUE	The claim made by the label that relates to food processing, allergen information etc.	Antibiotic free [FOODON:03601063]
Sample collection and processing	GENEPIO:0001204	NML submitted specimen type	nml_submitted_specimen_type	NmlSubmittedSpecimenTypeMenu		The type of specimen submitted to the National Microbiology Laboratory (NML) for testing.	swab
Sample collection and processing	GENEPIO:0100772	nucleic acid extraction kit	nucleic_acid_extraction_kit			The kit used to extract genomic material from a sample	QIAamp PowerFecal Pro DNA Kit
Sample collection and processing	GENEPIO:0100939	nucleic acid extraction method	nucleic_acid_extraction_method			The process used to extract genomic material from a sample.	Direct wastewater RNA capture and purification via the "Sewage, Salt, Silica and SARS-CoV-2 (4S)" method v4 found at https://www.protocols.io/view/v-4-direct-wastewater-rna-capture-and-purification-36wgq581ygk5/v4
Sample collection and processing	GENEPIO:0101086	nucleic acid storage duration unit	nucleic_acid_storage_duration_unit	NucleicAcidStorageDurationUnitMenu		The units of a measured extracted nucleic acid storage duration.	Year [UO:0000036]
Sample collection and processing	GENEPIO:0101085	nucleic acid storage duration value	nucleic_acid_storage_duration_value			The numerical value of the time measurement during which the extracted nucleic acid is in storage.	5
Sample collection and processing	GENEPIO:0001191	organism	organism	OrganismMenu	TRUE	Taxonomic name of the organism.	Severe acute respiratory syndrome coronavirus 2 [NCBITaxon:2697049]
Sample collection and processing	GENEPIO:0100439	original sample description	original_sample_description			The original sample description provided by the sample collector.	RTE Prosciutto from deli
Sample collection and processing	GENEPIO:0001264	passage method	passage_method		TRUE	Description of how organism was passaged.	AVL buffer+30%EtOH lysate received from Respiratory Lab. P3 passage in Vero-1 via bioreactor large-scale batch passage. P3 batch derived from the SP-2/reference lab strain.
